Date,Year,Month,MonthName,MonthYear,Quarter,Day,Weekday,WeekdayName,IsWeekend
1/1/2024,2024,1,Tháng Một,202401,Q1,1,1,Thứ hai,FALSE
1/2/2024,2024,1,Tháng Một,202401,Q1,2,2,Thứ ba,FALSE
1/3/2024,2024,1,Tháng Một,202401,Q1,3,3,Thứ Tư,FALSE
1/4/2024,2024,1,Tháng Một,202401,Q1,4,4,Thứ năm,FALSE
1/5/2024,2024,1,Tháng Một,202401,Q1,5,5,Thứ sáu,FALSE
1/8/2024,2024,1,Tháng Một,202401,Q1,8,1,Thứ hai,FALSE
1/9/2024,2024,1,Tháng Một,202401,Q1,9,2,Thứ ba,FALSE
1/10/2024,2024,1,Tháng Một,202401,Q1,10,3,Thứ Tư,FALSE
1/11/2024,2024,1,Tháng Một,202401,Q1,11,4,Thứ năm,FALSE
1/12/2024,2024,1,Tháng Một,202401,Q1,12,5,Thứ sáu,FALSE
1/15/2024,2024,1,Tháng Một,202401,Q1,15,1,Thứ hai,FALSE
1/16/2024,2024,1,Tháng Một,202401,Q1,16,2,Thứ ba,FALSE
1/17/2024,2024,1,Tháng Một,202401,Q1,17,3,Thứ Tư,FALSE
1/18/2024,2024,1,Tháng Một,202401,Q1,18,4,Thứ năm,FALSE
1/19/2024,2024,1,Tháng Một,202401,Q1,19,5,Thứ sáu,FALSE
1/22/2024,2024,1,Tháng Một,202401,Q1,22,1,Thứ hai,FALSE
1/23/2024,2024,1,Tháng Một,202401,Q1,23,2,Thứ ba,FALSE
1/24/2024,2024,1,Tháng Một,202401,Q1,24,3,Thứ Tư,FALSE
1/25/2024,2024,1,Tháng Một,202401,Q1,25,4,Thứ năm,FALSE
1/26/2024,2024,1,Tháng Một,202401,Q1,26,5,Thứ sáu,FALSE
1/29/2024,2024,1,Tháng Một,202401,Q1,29,1,Thứ hai,FALSE
1/30/2024,2024,1,Tháng Một,202401,Q1,30,2,Thứ ba,FALSE
1/31/2024,2024,1,Tháng Một,202401,Q1,31,3,Thứ Tư,FALSE
2/1/2024,2024,2,Tháng hai,202402,Q1,1,4,Thứ năm,FALSE
2/2/2024,2024,2,Tháng hai,202402,Q1,2,5,Thứ sáu,FALSE
2/5/2024,2024,2,Tháng hai,202402,Q1,5,1,Thứ hai,FALSE
2/6/2024,2024,2,Tháng hai,202402,Q1,6,2,Thứ ba,FALSE
2/7/2024,2024,2,Tháng hai,202402,Q1,7,3,Thứ Tư,FALSE
2/8/2024,2024,2,Tháng hai,202402,Q1,8,4,Thứ năm,FALSE
2/9/2024,2024,2,Tháng hai,202402,Q1,9,5,Thứ sáu,FALSE
2/12/2024,2024,2,Tháng hai,202402,Q1,12,1,Thứ hai,FALSE
2/13/2024,2024,2,Tháng hai,202402,Q1,13,2,Thứ ba,FALSE
2/14/2024,2024,2,Tháng hai,202402,Q1,14,3,Thứ Tư,FALSE
2/15/2024,2024,2,Tháng hai,202402,Q1,15,4,Thứ năm,FALSE
2/16/2024,2024,2,Tháng hai,202402,Q1,16,5,Thứ sáu,FALSE
2/19/2024,2024,2,Tháng hai,202402,Q1,19,1,Thứ hai,FALSE
2/20/2024,2024,2,Tháng hai,202402,Q1,20,2,Thứ ba,FALSE
2/21/2024,2024,2,Tháng hai,202402,Q1,21,3,Thứ Tư,FALSE
2/22/2024,2024,2,Tháng hai,202402,Q1,22,4,Thứ năm,FALSE
2/23/2024,2024,2,Tháng hai,202402,Q1,23,5,Thứ sáu,FALSE
2/26/2024,2024,2,Tháng hai,202402,Q1,26,1,Thứ hai,FALSE
2/27/2024,2024,2,Tháng hai,202402,Q1,27,2,Thứ ba,FALSE
2/28/2024,2024,2,Tháng hai,202402,Q1,28,3,Thứ Tư,FALSE
2/29/2024,2024,2,Tháng hai,202402,Q1,29,4,Thứ năm,FALSE
3/1/2024,2024,3,Tháng ba,202403,Q1,1,5,Thứ sáu,FALSE
3/4/2024,2024,3,Tháng ba,202403,Q1,4,1,Thứ hai,FALSE
3/5/2024,2024,3,Tháng ba,202403,Q1,5,2,Thứ ba,FALSE
3/6/2024,2024,3,Tháng ba,202403,Q1,6,3,Thứ Tư,FALSE
3/7/2024,2024,3,Tháng ba,202403,Q1,7,4,Thứ năm,FALSE
3/8/2024,2024,3,Tháng ba,202403,Q1,8,5,Thứ sáu,FALSE
3/11/2024,2024,3,Tháng ba,202403,Q1,11,1,Thứ hai,FALSE
3/12/2024,2024,3,Tháng ba,202403,Q1,12,2,Thứ ba,FALSE
3/13/2024,2024,3,Tháng ba,202403,Q1,13,3,Thứ Tư,FALSE
3/14/2024,2024,3,Tháng ba,202403,Q1,14,4,Thứ năm,FALSE
3/15/2024,2024,3,Tháng ba,202403,Q1,15,5,Thứ sáu,FALSE
3/18/2024,2024,3,Tháng ba,202403,Q1,18,1,Thứ hai,FALSE
3/19/2024,2024,3,Tháng ba,202403,Q1,19,2,Thứ ba,FALSE
3/20/2024,2024,3,Tháng ba,202403,Q1,20,3,Thứ Tư,FALSE
3/21/2024,2024,3,Tháng ba,202403,Q1,21,4,Thứ năm,FALSE
3/22/2024,2024,3,Tháng ba,202403,Q1,22,5,Thứ sáu,FALSE
3/25/2024,2024,3,Tháng ba,202403,Q1,25,1,Thứ hai,FALSE
3/26/2024,2024,3,Tháng ba,202403,Q1,26,2,Thứ ba,FALSE
3/27/2024,2024,3,Tháng ba,202403,Q1,27,3,Thứ Tư,FALSE
3/28/2024,2024,3,Tháng ba,202403,Q1,28,4,Thứ năm,FALSE
3/29/2024,2024,3,Tháng ba,202403,Q1,29,5,Thứ sáu,FALSE
